Date,Symbol,Option_Type,Strike,Expiry,Qty,Avg_Price,LTP,P_L,Daily_Total_PnL,Verification_Timestamp,Page
2025-06-16,KPITTECH,CE,1400,2025-06-26th,0,0.00,36.75,14400,14400,"Taken @ 13 Feb 2026, 4:12 PM",7
2025-06-13,LTIM,CE,5400,2025-06-26th,0,0.00,136.10,13125,13125,"Taken @ 13 Feb 2026, 4:12 PM",7
2025-06-12,GAIL,PE,200,2025-06-26th,0,0.00,9.85,11750,11750,"Taken @ 13 Feb 2026, 4:12 PM",7
2025-06-11,BSE,PE,3000,2025-06-26th,0,0.00,191.00,35813,35813,"Taken @ 13 Feb 2026, 4:12 PM",7
2025-06-10,OFSS,CE,9500,2025-06-26th,0,0.00,283.55,15860,15860,"Taken @ 13 Feb 2026, 4:12 PM",7
2025-06-09,BANDHANBNK,CE,170,2025-06-26th,0,0.00,17.30,23240,23240,"Taken @ 13 Feb 2026, 4:12 PM",7
2025-06-06,HDFCAMC,CE,5010,2025-06-26th,0,0.00,140.80,12150,12150,"Taken @ 13 Feb 2026, 4:12 PM",7
2025-06-05,PRESTIGE,CE,1600,2025-06-26th,0,0.00,72.00,10920,10920,"Taken @ 13 Feb 2026, 4:12 PM",7
2025-06-02,LT,STOCK,,,0,0.00,,0,0,"Taken @ 13 Feb 2026, 4:12 PM",7
2025-05-30,UNIONBANK,CE,145,2025-06-26th,0,0.00,7.05,5531,5531,"Taken @ 13 Feb 2026, 4:12 PM",7
2025-05-29,BSOFT,PE,420,2025-06-26th,0,0.00,15.50,-2050,-2050,"Taken @ 13 Feb 2026, 4:12 PM",7
2025-05-28,LICI,CE,900,2025-06-26th,0,0.00,61.10,13800,13800,"Taken @ 13 Feb 2026, 4:12 PM",7
2025-05-27,CONCOR,CE,740,2025-06-26th,0,0.00,43.05,18300,18300,"Taken @ 13 Feb 2026, 4:12 PM",7
2025-05-26,BALKRISIND,CE,2400,2025-06-26th,0,0.00,147.20,11355,11355,"Taken @ 13 Feb 2026, 4:12 PM",7
2025-05-23,ETERNAL,CE,230,2025-05-29th,0,0.00,9.10,16000,16000,"Taken @ 13 Feb 2026, 4:12 PM",7
2025-05-22,ASTRAL,CE,1400,2025-05-29th,0,0.00,57.85,18717,18717,"Taken @ 13 Feb 2026, 4:12 PM",7
2025-05-21,INDIANB,PE,600,2025-05-29th,0,0.00,10.75,-2090,-2090,"Taken @ 13 Feb 2026, 4:12 PM",7
2025-05-16,TITAGARH,CE,860,2025-05-29th,0,0.00,66.60,20250,20250,"Taken @ 13 Feb 2026, 4:12 PM",7
2025-05-15,HEROMOTOCO,CE,4100,2025-05-29th,0,0.00,243.95,18990,18990,"Taken @ 13 Feb 2026, 4:12 PM",7
2025-05-14,TITAGARH,CE,740,2025-05-29th,0,0.00,83.00,13625,13625,"Taken @ 13 Feb 2026, 4:12 PM",7
2025-05-13,HAL,CE,4400,2025-05-29th,0,0.00,303.50,12360,12360,"Taken @ 13 Feb 2026, 4:12 PM",7
2025-05-12,OFSS,CE,8500,2025-05-29th,0,0.00,420.00,14625,14625,"Taken @ 13 Feb 2026, 4:12 PM",7
2025-05-09,APOLLOTYRE,PE,470,2025-05-29th,0,0.00,18.50,10115,10115,"Taken @ 13 Feb 2026, 4:12 PM",7
2025-05-08,TORNTPHARM,PE,3200,2025-05-29th,0,0.00,118.40,11375,11375,"Taken @ 13 Feb 2026, 4:12 PM",7
