Date,Symbol,Option_Type,Strike,Expiry,Qty,Avg_Price,LTP,P_L,Daily_Total_PnL,Verification_Timestamp,Page
2025-04-01,LT,PE,1600,2025-04-24th,0,0.00,68.85,12338,12338,"Taken @ 13 Feb 2026, 4:12 PM",5
2025-04-01,LT,PE,1600,2025-04-24th,0,0.00,68.85,12338,12338,"Taken @ 13 Feb 2026, 4:12 PM",8
2025-04-02,TITAN,CE,3020,2025-04-24th,0,0.00,135.20,13659,13659,"Taken @ 13 Feb 2026, 4:12 PM",5
2025-04-02,TITAN,CE,3020,2025-04-24th,0,0.00,135.20,13659,13659,"Taken @ 13 Feb 2026, 4:12 PM",8
2025-04-03,LT,PE,7400,2025-04-24th,0,0.00,407.10,14006,14006,"Taken @ 13 Feb 2026, 4:12 PM",5
2025-04-03,LT,PE,7400,2025-04-24th,0,0.00,407.10,14006,14006,"Taken @ 13 Feb 2026, 4:12 PM",8
2025-04-04,AUROPHARMA,PE,1160,2025-04-24th,0,0.00,73.00,11000,11000,"Taken @ 13 Feb 2026, 4:12 PM",5
2025-04-04,AUROPHARMA,PE,1160,2025-04-24th,0,0.00,73.00,11000,11000,"Taken @ 13 Feb 2026, 4:12 PM",8
2025-04-08,DELHIVERY,PE,270,2025-04-24th,0,0.00,25.50,36600,36600,"Taken @ 13 Feb 2026, 4:12 PM",5
2025-04-08,DELHIVERY,PE,270,2025-04-24th,0,0.00,25.50,36600,36600,"Taken @ 13 Feb 2026, 4:12 PM",8
2025-04-09,LT,PE,2200,2025-04-24th,0,0.00,119.20,20955,20955,"Taken @ 13 Feb 2026, 4:12 PM",5
2025-04-09,LT,PE,2200,2025-04-24th,0,0.00,119.20,20955,20955,"Taken @ 13 Feb 2026, 4:12 PM",8
2025-04-11,LT,CE,2800,2025-04-24th,0,0.00,177.20,15750,15750,"Taken @ 13 Feb 2026, 4:12 PM",5
2025-04-11,LT,CE,2800,2025-04-24th,0,0.00,177.20,15750,15750,"Taken @ 13 Feb 2026, 4:12 PM",8
2025-04-15,LODHA,CE,1120,2025-04-24th,0,0.00,101.50,13050,13050,"Taken @ 13 Feb 2026, 4:12 PM",5
